param A := 58;
param N := 2;
param T :=480;
set J[1] := 1,2;
set J[2] := 1, 2, 3;
param: d :=
1	120
2	120
3	120
4	120
5	120
6	120
7	480
8	480
9	312
10	216
11	216
12	120
13	120
14	120
15	120
16	120
17	480
18	480
19	480
20	480
21	480
22	480
23	120
24	120
25	120
26	120
27	120
28	120
29	120
30	120
31	312
32	312
33	312
34	312
35	312
36	312
37	312
38	204
39	204
40	480
41	480
42	480
43	480
44	480
45	480
46	480
47	480
48	480
49	480
50	480
51	480
52	480
53	480
54	396
55	480
56	480
57	480
58	480;
param E:
	1	2:=
1	8	12
2	9	13
3	14	20
4	10	15
5	7	11
6	8	11
7	4	7
8	2	4
9	11	15
10	5	8
11	6	12
12	9	13
13	1	1
14	4	6
15	1	1
16	4	6
17	2	3
18	5	7
19	2	3
20	5	7
21	2	3
22	5	7
23	2	3
24	1	1
25	4	6
26	8	12
27	9	12
28	6	8
29	5	8
30	4	6
31	2	3
32	10	20
33	2	4
34	4	6
35	1	1
36	4	6
37	10	20
38	1	1
39	1	1
40	9	13
41	8	11
42	8	11
43	8	11
44	7	10
45	7	10
46	10	13
47	6	8
48	2	3
49	2	4
50	2	4
51	1	1
52	1	2
53	2	4
54	1	2
55	7	10
56	1	1
57	5	7
58	5	6;




