param A := 61;
param N := 2;
param T :=240;
set J[1] := 1, 2;
set J[2] := 1, 2, 3;
param: d :=
1	72
2	72
3	72
4	72
5	72
6	72
7	240
8	240
9	168
10	120
11	120
12	72
13	72
14	72
15	72
16	72
17	72
18	240
19	240
20	240
21	240
22	240
23	240
24	72
25	72
26	72
27	72
28	72
29	72
30	72
31	72
32	72
33	72
34	168
35	168
36	168
37	168
38	168
39	168
40	168
41	108
42	108
43	240
44	240
45	240
46	240
47	240
48	240
49	240
50	240
51	240
52	240
53	240
54	240
55	240
56	240
57	204
58	240
59	240
60	240
61	240;
param E:
	1	2:=
1	8	12
2	9	13
3	14	20
4	10	15
5	7	11
6	8	11
7	4	7
8	2	4
9	11	16
10	4	6
11	6	12
12	9	13
13	0	0
14	0	0
15	3	5
16	1	1
17	4	6
18	1	2
19	4	6
20	2	3
21	4	7
22	2	3
23	5	8
24	1	1
25	2	3
26	0	0
27	1	1
28	4	6
29	9	12
30	10	14
31	6	9
32	5	8
33	3	4
34	4	6
35	10	20
36	2	4
37	4	6
38	1	1
39	4	6
40	8	18
41	1	1
42	1	1
43	9	13
44	8	11
45	8	11
46	8	11
47	7	10
48	7	10
49	10	13
50	6	8
51	2	2
52	2	4
53	2	4
54	1	1
55	1	2
56	2	4
57	1	1
58	7	10
59	1	1
60	5	7
61	3	5
;




