param A := 37;
param N := 2;
param T :=480;
set J[1] := 1;
set J[2] := 1, 2;
param: d :=
1	216
2	120
3	204
4	108
5	204
6	204
7	120
8	108
9	396
10	396
11	480
12	480
13	216
14	216
15	216
16	204
17	204
18	204
19	204
20	216
21	216
22	216
23	216
24	216
25	216
26	216
27	216
28	396
29	396
30	396
31	396
32	396
33	396
34	396
35	396
36	396
37	396;

param E:
	1	2:=
1	4	5
2	14	20
3	5	8
4	2	3
5	5	8
6	5	8
7	8	13
8	3	5
9	4	5
10	4	5
11	1	1
12	7	10
13	1	2
14	3	7
15	6	12
16	7	10
17	5	6
18	5	6
19	4	6
20	6	8
21	7	10
22	7	10
23	2	2
24	6	8
25	9	12
26	7	10
27	4	6
28	1	1
29	7	9
30	0	0
31	4	6
32	4	6
33	4	6
34	4	6
35	9	13
36	1	1
37	1	1;





