param A := 44;
param N := 2;
param T :=240;
set J[1] := 1;
set J[2] := 1, 2;
param: d :=
1	204
2	204
3	204
4	204
5	204
6	204
7	204
8	204
9	204
10	204
11	204
12	204
13	108
14	60
15	60
16	60
17	60
18	60
19	60
20	216
21	216
22	120
23	120
24	120
25	120
26	120
27	120
28	120
29	120
30	216
31	216
32	216
33	216
34	216
35	216
36	216
37	216
38	216
39	216
40	216
41	216
42	216
43	216
44	216;

param E:
	1	2:=
1	3	5
2	6	9
3	6	8
4	6	8
5	3	3
6	6	9
7	4	6
8	1	1
9	1	1
10	1	1
11	1	1
12	1	2
13	1	2
14	1	2
15	1	2
16	1	2
17	1	2
18	1	2
19	1	2
20	9	20
21	4	8
22	1	2
23	9	13
24	1	2
25	9	14
26	1	2
27	9	14
28	1	2
29	9	13
30	3	4
31	4	5
32	5	7
33	10	19
34	10	17
35	13	20
36	4	6
37	6	9
38	11	21
39	2	3
40	11	18
41	10	14
42	7	10
43	12	17
44	9	12;


