param A := 44;
param N := 2;
param T :=480;
set J[1] := 1;
set J[2] := 1, 2;
param: d :=
1	396
2	396
3	396
4	396
5	396
6	396
7	396
8	396
9	396
10	396
11	396
12	396
13	204
14	108
15	108
16	108
17	108
18	108
19	108
20	408
21	408
22	216
23	216
24	216
25	216
26	216
27	216
28	216
29	216
30	408
31	408
32	408
33	408
34	408
35	408
36	408
37	408
38	408
39	408
40	408
41	408
42	408
43	408
44	408;

param E:
	1	2:=
1	3	5
2	6	9
3	6	8
4	6	8
5	3	3
6	6	9
7	4	6
8	1	1
9	1	1
10	1	1
11	1	1
12	1	2
13	1	2
14	1	2
15	1	2
16	1	2
17	1	2
18	1	2
19	1	2
20	9	20
21	4	8
22	1	2
23	9	13
24	1	2
25	9	14
26	1	2
27	9	14
28	1	2
29	9	13
30	3	4
31	4	5
32	5	7
33	10	19
34	10	17
35	13	20
36	4	6
37	6	9
38	11	21
39	2	3
40	11	18
41	10	14
42	7	10
43	12	17
44	9	12;


