param A := 20;
param N := 5;
param T :=100;
set J[1] := 1, 2, 3;
set J[2] := 1, 2, 3, 4;
set J[3] := 1, 2, 3, 4, 5;
set J[4] := 1, 2, 3;
set J[5] := 1, 2, 3;

param: d :=
1	47
2	31
3	92
4	44
5	20
6	86
7	59
8	54
9	46
10	79
11	72
12	85
13	63
14	99
15	69
16	76
17	58
18	84
19	67
20	83;
param E:
	1	2	3	4	5:=
1	1	2	3	1	4
2	1	5	5	4	3
3	1	5	4	1	3
4	4	1	1	5	1
5	5	4	5	1	2
6	3	5	4	2	3
7	1	5	5	2	3
8	2	3	3	2	3
9	1	5	4	2	2
10	1	1	5	3	4
11	2	3	2	2	5
12	2	2	1	4	4
13	1	1	3	3	3
14	1	3	3	1	5
15	1	3	4	3	2
16	4	5	1	3	5
17	2	2	3	5	3
18	5	3	2	1	5
19	1	2	1	5	4
20	3	4	3	2	2
;




