param A := 20;
param N := 10;
param T :=100;
set J[1] := 1, 2, 3;
set J[2] := 1, 2, 3, 4;
set J[3] := 1, 2, 3, 4;
set J[4] := 1, 2, 3;
set J[5] := 1, 2, 3;
set J[6] := 1, 2, 3;
set J[7] := 1, 2, 3;
set J[8] := 1, 2, 3;
set J[9] := 1, 2, 3;
set J[10] := 1, 2, 3;

param: d :=
1	61
2	68
3	92
4	50
5	29
6	33
7	48
8	99
9	32
10	40
11	52
12	67
13	51
14	85
15	74
16	61
17	64
18	51
19	62
20	90;
param E:
	1	2	3	4	5	6	7	8	9	10:=
1	3	4	5	5	5	2	2	4	3	5
2	4	3	5	4	5	3	1	5	2	2
3	2	1	5	2	1	1	2	3	4	5
4	5	5	4	2	3	1	2	3	5	2
5	2	4	1	1	1	4	3	3	2	5
6	3	2	5	5	5	1	1	3	3	3
7	3	5	3	3	2	2	3	1	1	5
8	1	4	3	5	2	5	5	4	1	1
9	1	2	3	2	4	3	5	1	4	3
10	1	2	1	1	4	3	5	4	1	5
11	3	1	5	4	4	1	4	4	2	1
12	3	3	5	5	4	2	1	2	2	1
13	1	2	4	2	3	1	2	1	5	2
14	4	4	5	4	4	5	4	1	2	5
15	3	4	1	4	5	2	1	4	1	4
16	5	1	3	5	4	2	4	5	4	4
17	1	1	5	1	2	3	2	3	4	3
18	1	3	3	3	5	2	3	1	4	5
19	5	5	4	1	4	5	1	4	4	1
20	3	2	2	4	1	4	5	3	4	3;


